created_at,entry_id,field1,field2
2017-04-07 21:03:46 UTC,691,4,0
2017-04-07 21:08:12 UTC,692,0,0
2017-04-07 21:19:32 UTC,693,4,0
2017-04-07 21:24:33 UTC,694,0,0
2017-04-07 21:27:56 UTC,695,3,0
2017-04-07 21:28:54 UTC,696,3,0
2017-04-07 21:29:33 UTC,697,3,0
2017-04-07 21:29:51 UTC,698,1,0
2017-04-07 21:35:33 UTC,699,1,0
2017-04-07 21:39:00 UTC,700,2,0
2017-04-07 21:40:11 UTC,701,2,0
2017-04-07 22:01:11 UTC,702,4,0
2017-04-07 22:13:30 UTC,703,1,0
2017-04-07 22:14:05 UTC,704,0,0
2017-04-07 22:25:02 UTC,705,2,0
2017-04-07 22:38:01 UTC,706,0,0
2017-04-07 22:49:59 UTC,707,1,0
2017-04-07 22:50:36 UTC,708,2,0
2017-04-07 22:50:56 UTC,709,0,0
2017-04-07 22:58:56 UTC,710,1,0
2017-04-07 22:59:45 UTC,711,0,0
2017-04-07 23:03:55 UTC,712,0,0
2017-04-07 23:13:17 UTC,713,0,0
2017-04-07 23:18:51 UTC,714,3,0
2017-04-07 23:28:59 UTC,715,2,0
2017-04-07 23:29:26 UTC,716,3,0
2017-04-07 23:31:58 UTC,717,0,0
2017-04-07 23:41:10 UTC,718,0,0
2017-04-07 23:42:09 UTC,719,0,0
2017-04-07 23:49:39 UTC,720,3,0
2017-04-07 23:50:55 UTC,721,4,0
2017-04-07 23:51:13 UTC,722,4,0
2017-04-07 23:55:15 UTC,723,3,0
2017-04-07 23:56:05 UTC,724,4,0
2017-04-08 00:03:03 UTC,725,3,0
2017-04-08 00:06:55 UTC,726,2,0
2017-04-08 00:11:37 UTC,727,2,0
2017-04-08 00:16:06 UTC,728,3,0
2017-04-08 00:29:02 UTC,729,2,0
2017-04-08 00:34:04 UTC,730,4,0
2017-04-08 00:49:10 UTC,731,4,0
2017-04-08 00:51:12 UTC,732,3,0
2017-04-08 00:57:13 UTC,733,4,0
2017-04-08 00:59:51 UTC,734,4,0
2017-04-08 01:08:58 UTC,735,4,0
2017-04-08 01:09:52 UTC,736,0,0
2017-04-08 01:16:35 UTC,737,3,0
2017-04-08 01:20:05 UTC,738,0,0
2017-04-08 01:23:28 UTC,739,3,0
2017-04-08 01:39:12 UTC,740,0,0
2017-04-08 01:40:04 UTC,741,1,0
2017-04-08 01:40:23 UTC,742,3,0
2017-04-08 01:40:45 UTC,743,2,0
2017-04-08 01:41:16 UTC,744,4,0
2017-04-08 01:41:36 UTC,745,4,0
2017-04-08 01:44:42 UTC,746,4,0
2017-04-08 01:46:35 UTC,747,0,0
2017-04-08 01:49:02 UTC,748,4,0
2017-04-08 01:50:08 UTC,749,4,0
2017-04-08 01:57:38 UTC,750,3,0
2017-04-08 02:11:33 UTC,751,0,0
2017-04-08 02:47:48 UTC,752,4,0
2017-04-08 02:49:30 UTC,753,3,0
2017-04-08 02:49:47 UTC,754,0,0
2017-04-08 03:12:08 UTC,755,4,0
2017-04-08 03:18:22 UTC,756,2,0
2017-04-08 03:18:38 UTC,757,0,0
2017-04-08 03:32:45 UTC,758,4,0
2017-04-08 03:51:15 UTC,759,0,0
2017-04-08 04:31:22 UTC,760,0,0
2017-04-08 04:31:38 UTC,761,0,0
2017-04-08 04:44:09 UTC,762,2,0
2017-04-08 05:02:10 UTC,763,4,0
2017-04-08 05:35:18 UTC,764,2,0
2017-04-08 05:35:36 UTC,765,0,0
2017-04-08 06:02:52 UTC,766,0,0
2017-04-08 13:55:21 UTC,767,4,0
2017-04-08 14:28:53 UTC,768,4,0
2017-04-08 14:33:00 UTC,769,0,0
2017-04-08 14:53:40 UTC,770,4,0
2017-04-08 14:56:35 UTC,771,3,0
2017-04-08 15:03:16 UTC,772,3,0
2017-04-08 15:17:21 UTC,773,0,0
2017-04-08 15:21:27 UTC,774,1,0
2017-04-08 15:24:44 UTC,775,4,0
2017-04-08 15:28:48 UTC,776,3,0
2017-04-08 15:44:30 UTC,777,4,0
2017-04-08 15:47:51 UTC,778,3,0
2017-04-08 15:52:33 UTC,779,4,0
2017-04-08 15:56:17 UTC,780,0,0
2017-04-08 15:58:39 UTC,781,4,0
2017-04-08 16:01:11 UTC,782,0,0
2017-04-08 16:01:36 UTC,783,3,0
2017-04-08 16:03:26 UTC,784,2,0
2017-04-08 16:12:47 UTC,785,0,0
2017-04-08 16:13:42 UTC,786,3,0
2017-04-08 16:14:09 UTC,787,0,0
2017-04-08 16:20:34 UTC,788,0,0
2017-04-08 16:22:20 UTC,789,3,0
2017-04-08 16:26:19 UTC,790,4,0
2017-04-08 16:26:51 UTC,791,3,0
2017-04-08 16:32:35 UTC,792,4,0
2017-04-08 16:36:12 UTC,793,4,0
2017-04-08 16:45:35 UTC,794,4,0
2017-04-08 16:45:52 UTC,795,4,0
2017-04-08 16:49:44 UTC,796,4,0
2017-04-08 16:53:05 UTC,797,0,0
2017-04-08 16:55:49 UTC,798,0,0
2017-04-08 17:08:11 UTC,799,1,0
2017-04-08 17:09:45 UTC,800,0,0
2017-04-08 17:11:43 UTC,801,1,0
2017-04-08 17:14:05 UTC,802,3,0
2017-04-08 17:14:50 UTC,803,4,0
2017-04-08 17:18:19 UTC,804,0,0
2017-04-08 17:20:12 UTC,805,4,0
2017-04-08 17:24:56 UTC,806,4,0
2017-04-08 17:25:18 UTC,807,4,0
2017-04-08 17:31:44 UTC,808,3,0
